projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
460078	736	2012-09-06T23:08:04.000Z	mhevery	2	24129618	fbdab513dd48f667ad857030cf4b3481ecdd9097	
460078	875	2012-09-06T23:08:04.000Z	mhevery	2	24129621	10e1c759f4602d993a76b0eacf6a2d04c8880017	
460078	933	2012-09-06T23:08:04.000Z	mhevery	2	24129617	f2b7fffdc0b0ad80cebb24f5fea743e9e4a439d5	
460078	988	2012-09-06T23:08:04.000Z	mhevery	2	24129616	42c38b29f7dcb3327fe58e630b8e2973676989e0	
460078	1016	2012-09-06T23:08:04.000Z	mhevery	2	24129619	cebd015f78c5e21bd37d4bc055dbcdc21dac2ef2	
460078	1076	2012-09-06T23:08:04.000Z	mhevery	2	24129620	6c67719dfa6ff3f2a15a8e1e7660cf2e6e9155b0	
460078	1095	2012-09-12T06:12:01.000Z	mhevery	2	24436417	209b67df6a49fe1646ce63c5e7d11ed26e8abbc1	
8514	2800	2012-09-13T01:36:22.000Z	frodsan	2	24518390	ceb05bd1b2f083c252980d4820346bc986c83e39	
8514	3386	2012-09-26T20:57:17.000Z	cczona	2	25498757	15d475a63b0beec2e1e735d49103e642ea54dc78	
460078	1469	2012-10-26T15:51:36.000Z	mhevery	2	27892808	bca1604c12262b66ce3b8004994fb4841fb8b87d	
460078	1020	2012-10-31T20:58:28.000Z	igorminar	2	28265434	249a1d84e7ac3b8528d317b8b0a80acb5dd9a271	
8514	2468	2012-11-13T16:06:43.000Z	kennyj	2	29405372	e85cb2d3bb95ae5cf2f524ffc6828fd40723c83e	
8514	8130	2012-11-13T16:06:43.000Z	kennyj	2	29405371	4d61d1f8f58f7db6f2bffee52cc2debc66ba7657	
460078	1004	2012-11-26T22:47:42.000Z	igorminar	2	30446664	3a75b1124d062f64093a90b26630938558909e8d	
460078	1096	2012-11-26T23:05:37.000Z	igorminar	2	30448473	fce100a46c5681562253c3a856d67bbd35fbc2f2	
460078	1403	2012-11-30T22:03:10.000Z	pkozlowski-opensource	2	30889060	8991680d8ab632dda60cd70c780868c803c74509	
460078	1452	2012-12-01T17:43:03.000Z	pkozlowski-opensource	2	30922052	2c405f417125c80c387a51baece8bf6e1e0c0a81	
460078	1516	2012-12-06T20:29:33.000Z	pkozlowski-opensource	2	31393009	f8b755982a3f110e1badb2326c0268f5adf767ad	
460078	1243	2012-12-09T16:17:52.000Z	pkozlowski-opensource	2	31573324	c398d7d3709333c4a228d955b5ee8cbcf4386468	
460078	1501	2012-12-14T00:15:29.000Z	igorminar	2	32066713	30a9da5dc159dd1e19b677914356925c7ebdf632	
460078	1035	2012-12-18T21:58:27.000Z	pkozlowski-opensource	2	32444199	e03182f018f5069acd5e883ce2e9349b83f2d03f	
460078	653	2012-12-19T19:14:16.000Z	pkozlowski-opensource	2	32541566	9e96d983451899ef0cef3e68395c8f6c1ef83bbe	
460078	1245	2012-12-20T19:41:08.000Z	pkozlowski-opensource	2	32657814	f0c6ebc07653f6267acec898ccef5677884e3081	
460078	1693	2013-01-03T19:50:13.000Z	pkozlowski-opensource	2	33345804	74db36ee94addab519a7198bd987b44228309d59	
460078	1799	2013-01-13T10:08:34.000Z	petebacondarwin	2	34223465	c0cb9f8c14def36cc894fad4146b599531163f61	
460078	908	2013-01-18T07:09:16.000Z	mhevery	2	34807519	a179a9a96eda5c566bda8a70ac8a75822c936a68	
460078	1621	2013-01-18T08:03:51.000Z	igorminar	2	34810575	a26234f7183013e2fcc9b35377e181ad96dc9917	
460078	1261	2013-02-07T09:33:06.000Z	igorminar	2	37025046	b001c8ece5472626bf49cf82753e8ac1aafd2513	
460078	1532	2013-02-07T09:33:06.000Z	igorminar	2	37025047	b001c8ece5472626bf49cf82753e8ac1aafd2513	
460078	1191	2013-02-07T10:37:08.000Z	igorminar	2	37031056	7090924515214752b919b0c5630b3ea5e7c77223	
460078	1074	2013-02-15T03:55:56.000Z	igorminar	2	37954331	0af172040e03811c59d01682968241e3df226774	
460078	1637	2013-02-19T04:28:22.000Z	igorminar	2	38330432	5f5d4feadbfa9d8ecc8150041dfd2bca2b2e9fea	
460078	909	2013-02-25T22:31:48.000Z	igorminar	2	39180828	ac899d0da59157fa1c6429510791b6c3103d9401	
460078	1435	2013-02-25T22:31:48.000Z	igorminar	2	39180829	ac899d0da59157fa1c6429510791b6c3103d9401	
460078	1467	2013-02-26T07:56:08.000Z	igorminar	2	39227119	639786083151ff93d70d31332bad143483140de0	
460078	199	2013-03-06T07:03:18.000Z	igorminar	2	40330625	79b51d5b578927bd510123c81953e7cc8c72f211	
460078	2112	2013-03-16T04:20:23.000Z	mhevery	2	41768489	3a81dd8bddbade81c4c9f734813458d0d969a4bf	
8514	10125	2013-04-10T04:23:01.000Z	steveklabnik	2	44638729	8cf88cc75ad0289f39fc2272c372f945b3934e76	
460078	1437	2013-04-16T21:49:53.000Z	vojtajina	2	45443869	12b6deb1ce99df64e2fc91a06bf05cd7f4a3a475	
460078	1462	2013-04-17T20:20:48.000Z	petebacondarwin	2	45606340	363e4cbf649de4c5206f1904ee76f89301ceaab0	
460078	1811	2013-04-29T17:28:28.000Z	petebacondarwin	2	47003751	06f2b2a8cf7e8216ad9ef05f73426271c2d97faa	
8514	7191	2013-04-30T23:15:45.000Z	tenderlove	2	47208515	ebd7cc6f459e43aa03a6b8095266888909e0ee4d	
460078	1826	2013-05-07T20:29:42.000Z	petebacondarwin	2	47984598	4622af3f075204e2d5ab33d5bd002074f2d940c9	
460078	1918	2013-05-08T09:04:35.000Z	petebacondarwin	2	48049574	cf4729faa3e6e0a5178e2064a6f3cfd345686554	
460078	2219	2013-07-03T22:53:08.000Z	petebacondarwin	2	55195778	fc8c9baa399c33956133cdb6892fc7007430d299	
460078	2890	2013-07-11T20:14:02.000Z	pkozlowski-opensource	2	56188753	a83ed0e6c373695f02ecd126f400a0ca1840b7d2	
460078	2685	2013-07-14T05:24:42.000Z	igorminar	2	56423487	724819e3cfd8aeda1f724fb527db2b57494be9b7	
460078	1277	2013-07-18T17:25:40.000Z	pkozlowski-opensource	2	57115657	2bb27d4998805fd89db25192f53d26d259ae615f	
460078	1417	2013-07-24T17:38:19.000Z	igorminar	2	57899429	dca23173e25a32cb740245ca7f7b01a84805f43f	
460078	2787	2013-07-24T21:22:33.000Z	igorminar	2	57940715	47a2a9829f0a847bbee61cd142c43000d73ea98b	
460078	1827	2013-07-31T23:22:30.000Z	chirayuk	2	58938809	61906d3517428b6d52d3284b8d26d1a46e01dad7	
460078	3482	2013-08-09T04:53:57.000Z	igorminar	2	60133063	5c560117425e7b3f7270389274476e843d6f69ec	
460078	3493	2013-08-09T04:53:57.000Z	igorminar	2	60133062	5c560117425e7b3f7270389274476e843d6f69ec	
460078	3473	2013-08-09T06:30:20.000Z	igorminar	2	60138816	f80730f497cb1ecb78a814f01df79b69223ad633	
460078	2048	2013-08-09T16:03:25.000Z	igorminar	2	60211384	a207665dad69248139b150cd3fe8ba13059bffb4	
460078	3503	2013-08-15T22:16:08.000Z	vojtajina	2	61081764	3a65822023119b71deab5e298c7ef2de204caa13	
460078	2797	2013-08-15T22:50:54.000Z	vojtajina	2	61086699	3bc4e7fd20372c0cad8298bff019b32681b16026	
460078	3633	2013-08-21T08:38:57.000Z	igorminar	2	61765373	637c9b1611c5a75a42048ee1c591521c7031751a	
460078	3587	2013-08-23T21:04:42.000Z	mhevery	2	62275465	7c605ddf1c57c9f162827713ca5b0fbb12de5fa5	
460078	3613	2013-08-23T21:04:42.000Z	mhevery	2	62275464	ee2f3d21da6c9fccfe1e6a4ea8a65627519c8bf2	
460078	4028	2013-09-26T18:20:08.000Z	mhevery	2	67414237	0a63adce687d28ada90ea930d5e69883cc11cba5	
460078	4170	2013-09-26T21:09:59.000Z	petebacondarwin	2	67449443	147c6929a264a7b077a5f2cfc5aa9a0b9513acd7	
